0,1,2,3,4,outcome,date,last_market_date,symbol
2.729159164312445,2.805176911832933,2.7868613815264998,2.8243506567983707,2.833213344056216,-1,2018-02-14,2018-02-07,MAT
4.362588940781406,4.353241283242128,4.330470147759479,4.319619174545265,4.319619174545265,-1,2018-02-14,2018-02-07,PNW
4.099497927462895,4.072610070076094,4.0428758138469085,4.06285389513073,4.058544658090914,-1,2018-02-14,2018-02-07,LUV
4.941785269549052,4.924932151903284,4.87052995943538,4.881513213769878,4.878398301469722,-1,2018-02-14,2018-02-07,JNJ
5.845831654381072,5.851800099980007,5.8050747261380735,5.8254099627779,5.812965674537693,-1,2018-02-14,2018-02-07,REGN
3.279029747687948,3.26804686887465,3.2268439945173775,3.2402458506043934,3.234355395716587,-1,2018-02-14,2018-02-07,JNPR
4.223763342972998,4.195546442731068,4.14962157771194,4.158726821151369,4.150724895658208,-1,2018-02-14,2018-02-07,CERN
4.491105229700119,4.451086170605376,4.41992435767689,4.442533602510535,4.430459592195472,-1,2018-02-14,2018-02-07,FMC
5.146912912388804,5.132144711493453,5.098951375144823,5.1070357883825706,5.110239272641702,-1,2018-02-14,2018-02-07,MCD
3.4560011737028296,3.4429789156771102,3.393837027255863,3.3945083935113587,3.3951793093365925,-1,2018-02-14,2018-02-07,GLW
7.551549386969438,7.527847778636171,7.509844725261286,7.527611076965243,7.540451572632865,-1,2018-02-14,2018-02-07,PCLN
4.315352501405889,4.326249619204883,4.2857910267930555,4.267316996289947,4.273745190588392,-1,2018-02-14,2018-02-07,XYL
2.9678470700644555,2.8887037007954675,2.8707357833793057,2.930660276810276,2.882563575448353,-1,2018-02-14,2018-02-07,FCX
3.923753928303845,3.866816412590067,3.7952644448179504,3.827771452980555,3.786686514116848,-1,2018-02-14,2018-02-07,HES
4.598044861045503,4.564556503102795,4.520701029361642,4.516776035225496,4.545632473271895,-1,2018-02-14,2018-02-07,ABC
3.479700443150099,3.435598808379488,3.380314170745731,3.3748534063225533,3.360722549096437,-1,2018-02-14,2018-02-07,BHGE
3.606312730456974,3.600321427132145,3.545874759696932,3.5633162311385904,3.554776469590456,-1,2018-02-14,2018-02-07,PFE
4.973141089668675,4.966962016306286,4.944068049824143,4.941070830710347,4.945563297352541,-1,2018-02-14,2018-02-07,AON
3.566146688731639,3.5544905510752844,3.5133348815990053,3.517497837358316,3.5263605246161616,-1,2018-02-14,2018-02-07,CA
4.816564990267753,4.812997033190408,4.763284429081783,4.778787302151899,4.763284429081783,-1,2018-02-14,2018-02-07,PKG
4.872292344474511,4.852108385868018,4.8445807097661735,4.857328702370825,4.858338450407997,-1,2018-02-14,2018-02-07,RHT
5.153753915356684,5.138031236614695,5.0821494289702525,5.100719722201566,5.096445950509366,-1,2018-02-14,2018-02-07,ITW
4.404766121643371,4.397161522258152,4.367166771766858,4.368941395125226,4.35619587463936,-1,2018-02-14,2018-02-07,AWK
4.361823927356363,4.338205355125032,4.313547024303048,4.326513924743623,4.325323999304086,-1,2018-02-14,2018-02-07,PYPL
4.670302280925873,4.641984159110808,4.598950886174174,4.641212777335021,4.6480380862152675,-1,2018-02-14,2018-02-07,CNC
3.606312730456974,3.571783682237689,3.540089380528774,3.551913599040779,3.546163151912341,-1,2018-02-14,2018-02-07,MGM
3.1599747169480397,3.17220341666977,3.1463051320333655,3.1552968432253294,3.1518809560439225,-1,2018-02-14,2018-02-07,HCP
5.242328856339181,5.18772094520601,5.137855144106975,5.183691840706733,5.145340996948547,-1,2018-02-14,2018-02-07,LRCX
4.677676876774839,4.640151154883337,4.6203543213131315,4.629472478511056,4.631422557132157,-1,2018-02-14,2018-02-07,MKC
4.37197629882038,4.344065128386763,4.294151248171873,4.31508522892,4.317354771313298,-1,2018-02-14,2018-02-07,C
5.460521246422891,5.446219996471532,5.3937184513112895,5.416900082374984,5.419738221752376,-1,2018-02-14,2018-02-07,UNH
4.34536265030229,4.330470147759479,4.309590341409169,4.300816579248338,4.287303782358995,-1,2018-02-14,2018-02-07,ETR
5.072983919160791,5.053183797342212,5.044199010934396,5.049727793902352,5.042521482958578,-1,2018-02-14,2018-02-07,SPG
3.8989377658794906,3.86094021519883,3.8284239815518326,3.8543938925915096,3.894062680051153,-1,2018-02-14,2018-02-07,LB
4.821490511954176,4.799831954866651,4.774068722449905,4.774153178342865,4.767289035464526,-1,2018-02-14,2018-02-07,EFX
4.226249633102039,4.194943760778217,4.151826997635463,4.167285186623816,4.157632301458019,-1,2018-02-14,2018-02-07,PFG
4.834057211929367,4.795046467186156,4.755915072680517,4.787241711526836,4.784570814354383,-1,2018-02-14,2018-02-07,V
3.627269972482245,3.603049197508743,3.573749146860305,3.575430761606357,3.580458705159516,-1,2018-02-14,2018-02-07,CAG
5.425698635875129,5.417787866524203,5.384449190177324,5.388249474048644,5.383623123127137,-1,2018-02-14,2018-02-07,ESS
2.4432162227337915,2.4087452888224363,2.3608540011180215,2.3589654264301534,2.349468678892896,-1,2018-02-14,2018-02-07,AES
4.51906748693468,4.518413322061809,4.487512142519859,4.490768925678116,4.4765410433909105,-1,2018-02-14,2018-02-07,MAA
4.489422577443778,4.437106500940836,4.378520495344594,4.36118596880203,4.343025897324149,-1,2018-02-14,2018-02-07,XOM
5.837322200579335,5.819459590715978,5.775699954193676,5.791488055075306,5.822039472049048,-1,2018-02-14,2018-02-07,NOC
4.930798120854626,4.920418786157677,4.883180638743141,4.880830283212547,4.8912509770728985,-1,2018-02-14,2018-02-07,ECL
